country,year,age_group,pay_gap,flag
Switzerland,2016,Less than 25 years,3.8,
Switzerland,2017,Less than 25 years,4.0,
Switzerland,2018,Less than 25 years,4.1,
Switzerland,2019,Less than 25 years,4.0,
Switzerland,2020,Less than 25 years,3.7,
Switzerland,2021,Less than 25 years,3.2,
Switzerland,2022,Less than 25 years,3.3,
Switzerland,2023,Less than 25 years,3.6,p
Switzerland,2024,Less than 25 years,2.2,p
United Kingdom,2015,Less than 25 years,6.5,
United Kingdom,2016,Less than 25 years,5.1,
United Kingdom,2017,Less than 25 years,6.4,
United Kingdom,2018,Less than 25 years,5.3,
